studio photo of a young woman with an afro, leaning against a wall with splashing paint, direct sunlight
high resolution photo of a car, kneeling, dramatic side lighting
professional photo of a vintage camera, leaning against a wall with paint splattering, rim lighting
studio photo of a teenager with short hair in a long coat, standing, even lighting
professional studio photo of a hawk, looking over shoulder, blue and red split lighting
crisp photo of a groom with pigtails wearing a badge, lunging with splashing paint, natural lighting
DSLR photo of a basketball player with cotton candy textured hair wearing a sheer lace dress, standing with hands in pockets, silhouette lighting
crisp photo of a kitten, stretching, balanced lighting
clean professional photo of a construction worker with a tight ponytail, gazing upward, ambient lighting
professional photo of a soldier wearing a cap in a costume with translucent fabric panels, putting on a jacket in a dusty room, fill lighting
high quality photo of a puppy, running, silhouette lighting
DSLR photo full body shot of a musician with a crew cut wearing a loose blouse, clapping, strong key light from the side
high quality photo of an athlete with hair tucked behind ears wearing a t-shirt, waving, contre-jour lighting
point and shoot photo of a diamond ring, flipping hair with volumetric haze, kicker light
high budget film still of a stack of books, crouching, bare bulb lighting
clean professional photo of a owl, standing in a power pose with breath visible in cold air, bright window behind subject
clean professional photo of a model wearing a headband, looking at camera with feathers falling, balanced lighting
DSLR photo of a violinist with slicked back hair, shifting weight, overhead fluorescent lighting
point and shoot photo of a shiny kettle, gazing upward throwing confetti, strong rim light
webcam capture of a DJ with a flat top wearing overalls, leaning against a wall, edge lighting
webcam capture of a peacock, crouching in light rain, fill lighting
high resolution photo of a surgeon with flyaway hair wearing a wrap dress, walking, natural lighting
clean professional photo of a cocktail, tilting head with fog rolling in, blue and red split lighting
crisp photo of a teenager with a massive curly afro, catching a ball, backlit
point and shoot photo of a prism, looking over shoulder, diffused lighting
crisp photo of a cyclist with a messy bun, sitting, fill lighting
low budget photo of a painter with pigtails, shifting weight, direct flash
crisp photo of a cyclist with big voluminous curly hair wearing a badge, standing with arms crossed, soft studio lighting
professional studio photo portrait of a cyclist with wild windblown hair, taking a step, ambient lighting
cinematic frame of a bride with a messy bun in a turtleneck, sitting in a chair, high contrast lighting
4K screenshot of a crystal chandelier, clapping with fog rolling in, overcast lighting
sharp detailed photo of a couple with a middle part wearing earrings, turning around, overcast lighting
high quality photo of a owl, sitting cross-legged, hard directional light
crisp photo of a cowboy with cropped hair, adjusting hair, ambient lighting
clean professional photo of a model wearing a blazer, nodding, edge lighting
sharp detailed photo upper body shot of a trumpet, spinning, fill lighting
professional studio photo of a young woman with slicked back hair wearing overalls holding a pen, swinging a sword, rim lighting
well-lit photo of a construction worker with a very short pixie cut in casual clothes, posing in a steamy room, rim lighting
professional photo portrait of a pirate cosplayer with hair flying in all directions, slowly raising arms, diffused lighting
DSLR photo upper body shot of a bride with layered hair in jeans and a shirt, dodging to the side, kicker light
studio photo of a puppy, posing with a smoke bomb in thick fog, softbox lighting
high quality photo of a dancer in a feathered costume, reclining, golden hour backlight
phone photo of a vintage camera, waving, studio lighting
well-lit photo of a glass pitcher, looking to the side, studio lighting
webcam capture of a cowboy with hair flying in all directions in a long cardigan, tilting head, diffused lighting
professional photo of a lizard, bending forward, backlit
professional photo of a ferret, kneeling, amber lighting
phone camera photo of a skateboarder with slicked back hair in a feather boa, reclining throwing confetti, hair light from behind
well-lit photo of a martial artist with short hair wearing a beaded see-through top, looking at camera, soft studio lighting
clean professional photo of a glass sculpture, lying down, high contrast lighting
crisp photo of a violinist with a massive curly afro, talking, ambient lighting
professional photo of a doctor with a buzz cut in casual clothes, standing in thick fog, softbox lighting
well-lit photo of a scientist in a lab coat with thin wispy white hair wearing a suit holding a pen, looking around with sparklers, flat lighting
crisp photo of a fishbowl, standing with hands on hips, soft studio lighting
clean professional photo of a boxer with hair tucked behind ears, throwing a punch, golden hour backlight
professional studio photo of a sheer curtain, sitting cross-legged, natural lighting
high quality photo of a teenager with a bob cut wearing a vest, slashing with a weapon, kicker light
well-lit photo of a ballerina with a halo of backlit flyaway hair wearing a button-down shirt, twirling in light fog, even lighting
grainy photo of a owl, gesturing, studio lighting
studio photo of a news anchor in athletic wear, shifting weight with light snow falling, natural lighting
high resolution photo of a collie, reclining, bare bulb lighting
clean professional photo of a bird, stretching, fill lighting
broadcast still of a soldier with a tight ponytail wearing a long shawl wearing a belt, reclining, teal and orange lighting
high resolution photo of a teacher in a tank top, tilting head, multicolored lighting
sharp detailed photo of an athlete with a ponytail in athletic wear, stepping forward, hard directional light
TV screenshot of a rooster, looking around with flower petals falling, soft lighting
professional photo of a skateboarder with medium length curly hair, breakdancing, warm candlelight
phone camera photo of a teacher wearing a helmet in athletic wear, holding a pose, hard directional light
studio photo of a crystal chandelier, looking at camera, silhouette lighting
commercial still of a painter with a buzz cut wearing a sheer lace dress looking through a magnifying glass, putting on a jacket, flat lighting
high quality photo of a cowboy with long straight hair wearing a kimono, kneeling with bubbles floating around, bare bulb lighting
professional studio photo of a rabbit, jumping, cold fluorescent light
clean professional photo of a cowboy with layered hair, nodding in light fog, direct sunlight
studio photo of a man with long flowing red hair in athletic wear, standing in a power pose, soft lighting
low budget photo of a violinist with slicked back hair in a uniform, lunging with dandelion seeds floating, kicker light
professional photo of a glass of wine, lying down with sparks flying, bare bulb lighting
phone photo of a ballerina with short hair wearing aviator sunglasses, adjusting hair, natural lighting
high resolution photo extreme close-up of a news anchor wearing a beanie wearing a t-shirt, swinging a sword, strong key light from the side
crisp photo of a stack of books, gazing upward, contre-jour lighting
well-lit photo wide shot of a kitten, bending forward, softbox lighting
DSLR photo of an elderly man with a buzz cut, bending forward, strong rim light
DSLR photo of a skateboarder with a half-up hairstyle in a long cardigan with a reflective face shield, shifting weight, strong key light from the side
professional studio photo bust shot of a lamp, shifting weight, hard shadow lighting
professional studio photo of a cowboy wearing a helmet in a sequined dress, standing, soft studio lighting
consumer camera photo portrait of a magician with straight bangs, pointing with snow falling, cross lighting
high resolution photo of a young woman with cropped hair in a jacket wearing a tie, leaping with dust particles in the air, overcast lighting
professional studio photo of a bird, looking at camera, natural lighting
crisp photo of a glass pitcher, putting on a jacket, soft studio lighting
professional photo of a hawk, sitting in a chair with fireflies, backlit
webcam capture of a pirate cosplayer with unruly frizzy hair wearing a fringe jacket wearing glasses, lying down, soft lighting
studio photo of a dancer, slowly raising arms, halo backlight
cinematic frame of a jewelry display, standing in a power pose, multicolored lighting
high quality photo bust shot of a lamp, tilting head, strong backlight
well-lit photo of a person with a bob cut wearing a wrap dress, kneeling with floating embers, hard shadow lighting
professional photo of a person with an afro, standing with hands on hips, hair light from behind
studio photo bust shot of a yoga instructor with a low bun wearing a net shawl, pacing slowly, gentle lighting
clean professional photo of a boxer with a lion's mane of curly hair wearing a beaded see-through top wearing a backpack, perched on a stool with smoke around them, top-down lighting
professional photo of an athlete with a twisted updo wearing a vest, standing straight, fill lighting
point and shoot photo of a dancer with baby hairs around the forehead wearing a t-shirt, dodging to the side with sparks flying, natural lighting
amateur photo of a chrome robot figurine, spinning with a spray of water, ambient lighting
well-lit photo of a scientist in a lab coat with a half-up hairstyle in a jacket, leaning against a wall, dramatic side lighting
high resolution photo of a person with long flowing red hair wearing a blazer, leaning against a wall in light fog, even lighting
consumer camera photo of a construction worker with long straight hair wearing a poncho, standing straight, neon lighting
high budget film still of a violinist in a tulle skirt, leaning against a wall with snow falling, golden hour backlight
phone photo of a bride with a shaved head in a jacket, pointing, natural lighting
well-lit photo of a doctor, sitting cross-legged, hard directional light
high resolution photo of a teenager with unruly frizzy hair, holding a pose, hard directional light
professional studio photo of a small tree, nodding, bare bulb lighting
amateur photo of an elderly woman wearing a cap, swinging a bat, natural lighting
consumer camera photo of a small tree, slowly raising arms, dramatic side lighting
well-lit photo upper body shot of a clown wearing a tracksuit, gesturing, neon lighting
sharp detailed photo of a singer with a middle part wearing a polo shirt wearing a necklace, gazing upward, bright window behind subject
high quality photo of a violin, standing with hands on hips, spotlight
professional photo of a wine glass, looking to the side, purple neon glow
high resolution photo of a cowboy in a tank top holding a glass of water, catching a ball with pollen in the air, contre-jour lighting
consumer camera photo of a ferret, leaping, strong rim light
home studio photo of a mechanic with shoulder-length hair, posing, green gel lighting
studio photo of a glass pitcher, lying down in a dusty room, neutral lighting
crisp photo of a magician, standing with arms crossed, fill lighting
DSLR photo of a glass of water, lying down, amber lighting
professional studio photo of a terrarium, waving with flying leaves in light rain, fill lighting
sharp detailed photo of a surgeon with two braids in a loose kaftan, doing a high kick, single point light
crisp photo of a vintage camera, flipping hair with paper flying around, kicker light
4K screenshot of a fox, sitting in a chair with a splash of water, golden hour backlight
clean professional photo of a fishbowl, standing with hands on hips, studio lighting
professional photo of a laptop, standing, kicker light
professional studio photo of a bride with a top knot, standing straight, silhouette lighting
well-lit photo of a peacock, standing in a power pose, direct sunlight
consumer camera photo of a long-haired cat, nodding, green gel lighting
crisp photo of a yoga instructor with a buzz cut behind a sheer curtain, adjusting hair, ambient lighting
DSLR photo of an elderly woman, tilting head, single source harsh light
movie screenshot of an elderly woman wearing a tracksuit, looking over shoulder, contre-jour lighting
clean professional photo of a cocktail, spinning with a splash of water, overhead fluorescent lighting
well-lit photo of a woman wearing a helmet wearing a badge, gazing upward, strong rim light
clean professional photo of a scientist in a lab coat with a twisted updo, gazing upward with steam rising, softbox lighting
DSLR photo of a guitarist with a french braid wearing a flowing dress, waving, studio lighting
high resolution photo of a businesswoman with long flowing silver hair wearing a suit, kneeling with dust particles in the air, soft studio lighting
webcam capture of a martial artist with fine wispy blonde hair, crouching, cyan light
clean professional photo of a laptop, taking a step, hard shadow lighting
professional studio photo of a guitar, pointing, pink neon light
high quality photo of a magician with a middle part in a turtleneck, looking to the side with dust particles in the air, contre-jour lighting
crisp photo of a child with a twisted updo wearing overalls, catching a ball with floating embers, fill lighting
low budget photo of a clown with pigtails, posing in a misty environment, neutral lighting
professional studio photo of a violin, looking to the side, cross lighting
crisp photo of a glass of water, shifting weight, even lighting
crisp photo close-up of a firefighter with a messy bun, perched on a stool, even lighting
professional photo of a man with two braids wearing a wrap dress, skateboarding, hard directional light
TV screenshot of a coffee pot, sitting cross-legged with steam rising, direct flash
consumer camera photo of a chef with loose curls cascading everywhere in casual clothes, sitting cross-legged, kicker light
sharp detailed photo of a musician with very long wavy hair blowing in the wind, sitting in a chair with flower petals falling, fill lighting
sharp detailed photo of a crystal chandelier, skateboarding with a burst of powder, purple neon glow
commercial still of a chef with wild windblown hair wearing a puffer jacket, standing, natural lighting
clean professional photo of a pair of eyeglasses on a stand, doing a high kick, halo backlight
film still of a ballerina with cotton candy textured hair wearing a long skirt wearing mirrored sunglasses, taking a step, golden hour backlight
high resolution photo of a candelabra, doing a backflip, orange tungsten light
amateur photo of a young man with a twisted updo wearing a transparent plastic jacket, standing, balanced lighting
crisp photo of a singer bald in a turtleneck, gesturing, softbox lighting
well-lit photo of a beer glass, shifting weight, natural lighting
DSLR photo of a crystal chandelier, reaching out, pink neon light
commercial still of a persian cat, shrugging with floating ribbons, bright overhead light
phone photo of a violinist with a short mohawk in a pleated skirt, standing with smoke wisps, green gel lighting
home studio photo of a guitarist in a loose kaftan, standing straight, direct sunlight
well-lit photo of a musical instrument, kneeling with steam rising, neutral lighting
handheld camera photo of a chrome robot figurine, reclining, bright window behind subject
sharp detailed photo of a cat, reclining with fireflies, contre-jour lighting
broadcast still of a news anchor, holding a pose, hard shadow lighting
sharp detailed photo of a parrot, doing a karate chop, even lighting
professional photo wide shot of a child wearing a helmet, crouching with water droplets splashing with light dust, strong rim light
professional photo of a long-haired cat, perched on a stool, silhouette lighting
consumer camera photo of a cyclist wearing a cap wearing overalls holding a wine glass, putting on a jacket, direct flash
broadcast still of a painter with a crew cut wearing a puffer jacket, stepping forward with sparks flying, overhead fluorescent lighting
clean professional photo of a skateboarder with layered hair in a tank top holding a mirror, pointing, strong backlight
crisp photo of a small tree, standing with hands on hips, fill lighting
studio photo of a fern, gesturing with atmospheric haze, rim lighting
studio photo of a vintage camera, standing with hands in pockets in a sandstorm, balanced lighting
DSLR photo of a fern, sitting with shattered glass with breath visible in cold air, spotlight
sharp detailed photo of a cyclist bald wearing a badge, diving, single point light
amateur photo of an elderly woman with a lion's mane of curly hair in a tank top, lying down with snow falling, balanced lighting
well-lit photo tight shot of a groom with a halo of backlit flyaway hair in a tank top with metallic face paint, standing in a power pose, bright window behind subject
studio photo of two people in casual clothes, looking at camera with bubbles floating around, softbox lighting
film still of a pirate cosplayer wearing a helmet, stepping forward, sunset backlight
well-lit photo of a skateboarder wearing a blazer, tilting head, strong backlight
crisp photo of a model with layered hair, bending forward, single source harsh light
studio photo of a crystal chandelier, looking around, fill lighting
high resolution photo of a yoga instructor in casual clothes, standing with arms crossed, natural lighting
high resolution photo of an elderly woman with a top knot, waving with smoke drifting, even lighting
well-lit photo of a waiter with loose curls cascading everywhere holding a glass of water, looking over shoulder with volumetric haze, sunset backlight
high budget film still of a glass of wine, stretching, sunset backlight
DSLR photo of a musician wearing a beanie, sitting in a chair, edge lighting
crisp photo of a ballerina with a middle part in a long cardigan, perched on a stool with light dust, contre-jour lighting
high resolution photo of a skateboarder with short hair wearing a tracksuit, talking, diffused lighting
amateur photo of a metal sculpture, standing, soft lighting
well-lit photo of a poodle, doing a karate chop, edge lighting
consumer camera photo of a scientist in a lab coat with a swim cap in a maxi skirt, looking at camera, dramatic side lighting
crisp photo of a guitarist with a bob cut in jeans and a shirt, leaning against a wall with a splash of water with volumetric haze, balanced lighting
film still of a rabbit, sitting, warm candlelight
well-lit photo of a bouquet of flowers, walking, teal and orange lighting
film still of a vintage camera, tumbling, edge lighting
professional studio photo tight shot of a young man with frizzy curly hair, standing, cross lighting
high quality photo of a construction worker with medium length curly hair in a long coat, looking over shoulder, teal and orange lighting
studio photo of a drummer wearing a flowing dress wearing a necklace, lunging, cross lighting
clean professional photo of a martial artist with pigtails in a tulle skirt, lying down, studio lighting
studio photo of a metal sculpture, leaning against a wall, bare bulb lighting
sharp detailed photo of a doctor with gelled hair wearing a loose blouse, looking over shoulder, fill lighting
DSLR photo of a magician with a lion's mane of curly hair wearing a wrap dress, waving, rim lighting
broadcast still of a cyclist, reclining, soft studio lighting
clean professional photo of a nurse with unruly frizzy hair, leaping, strong key light from the side
webcam capture of a metal sculpture, walking with confetti raining down, even lighting
studio photo of a nurse with an afro holding a glass orb, looking over shoulder, natural lighting
low budget photo of a couple with a flat top in a uniform, nodding, soft studio lighting
crisp photo of a clown wearing a hat wearing a poncho wearing a clear face shield, gazing upward, halo backlight
sharp detailed photo of a boxer, adjusting hair, direct sunlight
sharp detailed photo of a surgeon with extremely long hair past the waist in a jacket, tumbling, overcast lighting
crisp photo of a coffee pot, looking over shoulder, halo backlight
professional photo of a dancer with chin-length hair wearing a blazer, shrugging, even lighting
studio photo of a businessman, standing with hands in pockets, rim lighting
phone photo of a drummer, twirling, even lighting
crisp photo of a child with straight bangs, looking to the side, natural lighting
DSLR photo of a groom wearing sunglasses, lying down, soft lighting
well-lit photo of a skateboarder in a bathrobe, doing a cartwheel, hair light from behind
phone photo of a gymnast with short hair wearing a wrap dress, looking to the side with breath visible in cold air, single source harsh light
high resolution photo of a mechanic with tangled windswept hair in a fuzzy mohair sweater, adjusting hair, hard directional light
high resolution photo of a surgeon, gazing upward with glitter in the air, kicker light
sharp detailed photo of a puppy, sitting with sparks flying, purple neon glow
professional photo of a guitarist with a lion's mane of curly hair in a jacket, gesturing, contre-jour lighting
professional photo of a news anchor with straight bangs in a turtleneck, pointing, hair light from behind
low budget photo of a clown wearing a cap wearing a suit wearing a reflective visor, slashing with a weapon, flat lighting
high quality photo of a firefighter with a half-up hairstyle, standing throwing confetti, hair light from behind
broadcast still of a glass of wine, sitting, overhead fluorescent lighting
crisp photo of a jewelry display, reclining, flat lighting
clean professional photo of a businessman with wild windblown hair in a mesh top, sitting in a chair, hard directional light
point and shoot photo of a young man wearing a helmet, stepping forward with a spray of water, hair light from behind
clean professional photo of a basketball player wearing a hat in a loose kaftan, reclining with water droplets splashing, soft studio lighting
professional photo of a woman with medium length curly hair wearing a loose blouse holding a glass orb, turning around, natural lighting
clean professional photo wide shot of a violinist with long straight hair, standing straight, orange tungsten light
high quality photo of a sheer curtain, standing with hands in pockets, overcast lighting
high quality photo of a magician with baby hairs around the forehead wearing scrubs, reclining with a spray of water with breath visible in cold air, kicker light
clean professional photo full body shot of a businessman with frizzy curly hair in casual clothes, sprinting, softbox lighting
sharp detailed photo extreme close-up of a cyclist wearing a cape, standing in a power pose, halo backlight
DSLR photo of a polished silver plate, standing straight, halo backlight
consumer camera photo bust shot of a bride with a side part, standing with arms crossed, cross lighting
sharp detailed photo of a mechanic wearing a t-shirt, shrugging, hard directional light
sharp detailed photo close-up of a bride in a fluffy faux fur jacket holding a mirror, posing, flat lighting
professional photo of a businesswoman with hair caught mid-motion wearing a sheer lace dress, looking to the side, neutral lighting
webcam capture of a person with a shaved head wearing a cape, picking something up with dust particles in the air, soft lighting
DSLR photo of a glass chess set, stretching, cross lighting
commercial still of a snake, running, studio lighting
sharp detailed photo of a violinist with static-charged hair standing up wearing a polo shirt, bending forward, ambient lighting
phone camera photo of a couple with a french braid, flipping hair, backlit
4K screenshot wide shot of a chef bald, posing, direct sunlight
clean professional photo of a young woman with unruly frizzy hair in a heavily fringed outfit, kneeling, fill lighting
phone camera photo of a crystal ball, kicking, spotlight
consumer camera photo of a doctor with chin-length hair in a wetsuit, diving, spotlight
crisp photo of a martial artist with a french braid in a turtleneck, waving with streamers, overcast lighting
professional studio photo of two people with long straight hair wearing a loose blouse, sprinting, hair light from behind
professional studio photo of a child with frazzled unkempt hair, sitting in a chair, edge lighting
high resolution photo of a man with hair caught mid-motion wearing a button-down shirt, spinning, bare bulb lighting
sharp detailed photo three quarter shot of a chef with dreadlocks in a sheer overlay dress, clapping with dandelion seeds floating, backlit
high resolution photo of a woman with big voluminous curly hair in a maxi skirt, talking, bright overhead light
professional photo of a guitarist with cropped hair wearing a fringe jacket, reaching out, bright window behind subject
studio photo of a small tree, standing straight, bright window behind subject
movie screenshot of a news anchor wearing a reflective visor, handing something over, backlit
film still of a magician, standing with arms crossed, bright window behind subject
well-lit photo of a scientist in a lab coat with unruly frizzy hair wearing a long shawl, leaping, neutral lighting
film still of a teacher with a top knot, stretching, hard directional light
point and shoot photo wide shot of two people with a loose braid, standing straight with smoke drifting, multicolored lighting
studio photo of a scientist in a lab coat bald in a uniform, gesturing, overcast lighting
professional studio photo of a groom with a swim cap in a tank top, standing with hands in pockets in a sandstorm, strong rim light
studio photo of a boxer with braids, doing a karate chop, even lighting
sharp detailed photo of a groom with a side part in a fuzzy mohair sweater, taking a step with light dust, bright overhead light
home studio photo of a polished silver plate, diving, warm candlelight
DSLR photo of a husky, looking to the side, neutral lighting
professional studio photo of a husky, sitting in a chair with water droplets splashing, neutral lighting
high resolution photo of a chrome robot figurine, handing something over, hair light from behind
professional studio photo of a skateboarder with cropped hair wearing overalls, adjusting hair, sunset backlight
clean professional photo of a guitarist with wild untamed hair in a leather jacket, throwing a punch with feathers falling, pink neon light
DSLR photo bust shot of a teenager in a billowing shirt holding a tablet, looking to the side, even lighting
clean professional photo of a poodle, whipping around, flat lighting
crisp photo of a groom with extremely long hair past the waist in a leather jacket holding a phone, perched on a stool, single point light
clean professional photo of a musical instrument, standing with hands on hips, direct sunlight
studio photo of a glass pitcher, standing straight, halo backlight
crisp photo of a cat, clapping with smoke drifting, spotlight
well-lit photo of a painter with short hair wearing scrubs, kneeling with glitter in the air, strong backlight
professional photo of a surgeon with a half-up hairstyle in a wedding veil, leaning against a wall, dramatic side lighting
amateur photo of a polished silver plate, pacing slowly, strong backlight
movie screenshot of a martial artist wearing a beanie in casual clothes behind a sheer curtain, jumping, ambient lighting
well-lit photo of a young woman in a hoodie, nodding, backlit
sharp detailed photo of a vintage camera, nodding, multicolored lighting
well-lit photo close-up of a news anchor with a swim cap in a jacket, standing with hands on hips, diffused lighting
high quality photo of a yoga instructor with a lion's mane of curly hair in athletic wear, lying down, spotlight
studio photo of a news anchor wearing a headband, nodding, bright window behind subject
broadcast still of a sheer curtain, nodding, kicker light
amateur photo bust shot of a yoga instructor with very long wavy hair blowing in the wind wearing a vest, vaulting, soft lighting
TV screenshot of a construction worker wearing a hat, doing a cartwheel, strong rim light
high resolution photo of a chef wearing a puffer jacket, doing a spin kick, warm golden light
crisp photo of a martial artist with gelled hair wearing a loose blouse, reclining, gentle lighting
professional studio photo of a wine glass, adjusting hair with a splash of water, neutral lighting
broadcast still of a persian cat, adjusting hair, bright window behind subject
crisp photo of a yoga instructor with extremely long hair past the waist, standing with arms crossed, gentle lighting
high resolution photo of a shiny kettle, doing a high kick, backlit
